key_name,code,code_desc
event_location,603,BLOODMOBILE
event_location,604,CATHETERIZATION LAB - FREE STANDING
event_location,605,CHEMOTHERAPY CENTER
event_location,606,"CLINIC - WALK IN, OTHER"
event_location,607,DIALYSIS CENTER
event_location,608,DRUG CLINIC
event_location,609,IMAGING CENTER - MOBILE
event_location,610,IMAGING CENTER - STATIONARY
event_location,611,LABORATORY
event_location,612,MOBILE HEALTH UNIT
event_location,613,MRI CENTERS
event_location,614,"PSYCHIATRIC CENTER - WALK IN, OTHER"
event_location,615,TUBERCULOSIS CLINIC
event_location,616,URGENT CARE CENTER
event_location,617,OUTPATIENT DIAGNOSTIC FACILITY
event_location,700,LONG-TERM CARE FACILITY
event_location,701,HOSPICE
event_location,702,NURSING HOME
event_location,703,PSYCHIATRIC FACILITY
event_location,704,REHABILITATION CENTER
event_location,705,RETIREMENT HOME
event_location,810,PATIENT'S HOME
event_location,820,IN TRANSIT TO USER/MEDICAL FACILITY
event_location,830,PUBLIC VENUE
event_location,831,OUTDOORS
event_location,832,PARK
event_location,833,PLAYGROUND
event_location,834,PUBLIC BUILDING
event_location,835,SCHOOL
event_location,836,STREET
event_location,999,UNKNOWN
event_location,NA,NOT APPLICABLE
event_location,NI,NO INFORMATION
event_location,UNK,UNKNOWN
device_operator,*,INVALID DATA
device_operator,000,OTHER
device_operator,001,PHYSICIAN
device_operator,002,NURSE
device_operator,0HP,HEALTH PROFESSIONAL
device_operator,0LP,LAY USER/PATIENT
device_operator,100,OTHER HEALTH CARE PROFESSIONAL
device_operator,101,AUDIOLOGIST
device_operator,102,DENTAL HYGIENIST
device_operator,103,DIETICIAN
device_operator,104,EMERGENCY MEDICAL TECHNICIAN
device_operator,105,MEDICAL TECHNOLOGIST
device_operator,106,NUCLEAR MEDICINE TECHNOLOGIST
device_operator,107,OCCUPATIONAL THERAPIST
device_operator,108,PARAMEDIC
device_operator,109,PHARMACIST
device_operator,110,PHLEBOTOMIST
device_operator,111,PHYSICAL THERAPIST
device_operator,112,PHYSICIAN ASSISTANT
device_operator,113,RADIOLOGIC TECHNOLOGIST
device_operator,114,RESPIRATORY THERAPIST
device_operator,115,SPEECH THERAPIST
device_operator,116,DENTIST
device_operator,300,OTHER CAREGIVERS
device_operator,301,DENTAL ASSISTANT
device_operator,302,HOME HEALTH AIDE
device_operator,303,MEDICAL ASSISTANT
device_operator,304,NURSING ASSISTANT
device_operator,305,PATIENT
device_operator,306,PATIENT FAMILY MEMBER OR FRIEND
device_operator,307,PERSONAL CARE ASSISTANT
device_operator,400,SERVICE AND TESTING PERSONNEL
device_operator,401,BIOMEDICAL ENGINEER
device_operator,402,HOSPITAL SERVICE TECHNICIAN
device_operator,403,MEDICAL EQUIPMENT COMPANY TECHNICIAN/REPRESENTATIVE
device_operator,404,PHYSICIST
device_operator,405,SERVICE PERSONNEL
device_operator,499,DEVICE UNATTENDED
device_operator,500,RISK MANAGER
device_operator,600,ATTORNEY
device_operator,999,UNKNOWN
device_operator,NA,NOT APPLICABLE
device_operator,NI,NO INFORMATION
device_operator,UNK,UNKNOWN
text_type_code,D,Description of Event or Problem
text_type_code,E,Manufacturer Evaluation Summary
text_type_code,N,Additional Manufacturer Narrative
